,M_t,F_t,C_t,Q_t,REPORT_VALID,event_risk_multiplier
2025-06-20 00:00:00-04:00,-0.08061631211438941,-0.0060377332450685245,0.9913345954640542,1.0,True,1.0
2025-06-21 00:00:00-04:00,-0.12061631211438945,-0.09799794146757718,0.9781385746418033,1.0,True,1.0
2025-06-22 00:00:00-04:00,-0.12061631211438945,-0.15137071011523706,0.9728012977770373,1.0,True,1.0
2025-06-23 00:00:00-04:00,-0.12061631211438945,-0.17592156490526567,0.9703462122980344,1.0,True,1.0
2025-06-24 00:00:00-04:00,-0.12061631211438945,-0.02231861685544268,0.9857065071030168,1.0,True,1.0
2025-06-25 00:00:00-04:00,-0.12061631211438945,0.008611287046883296,0.9887994974932494,1.0,True,1.0
2025-06-26 00:00:00-04:00,-0.12061631211438945,0.14979635727837284,0.991140154005205,1.0,True,1.0
2025-06-27 00:00:00-04:00,-0.12061631211438945,0.09050169082948382,0.9933331970561579,1.0,True,1.0
2025-06-28 00:00:00-04:00,-0.12061631211438945,0.1289959417517911,0.9897419959112012,1.0,True,1.0
2025-06-29 00:00:00-04:00,-0.12061631211438945,0.0196574734681562,0.9899041161353765,1.0,True,1.0
2025-06-30 00:00:00-04:00,-0.12061631211438945,0.049534242560809155,0.992891793044642,1.0,True,1.0
2025-07-01 00:00:00-04:00,-0.12061631211438945,0.0400671905474634,0.9919450878433074,1.0,True,1.0
2025-07-02 00:00:00-04:00,-0.12061631211438945,0.01829027770645948,0.989767396559207,1.0,True,1.0
2025-07-03 00:00:00-04:00,-0.12061631211438945,0.15723248143324103,0.9920857841903855,1.0,True,1.0
2025-07-04 00:00:00-04:00,-0.10923286984859423,0.10574960602100608,0.9928100491636365,1.0,True,1.0
2025-07-05 00:00:00-04:00,-0.10923286984859423,0.021386840807018158,0.9912153970958424,1.0,True,1.0
2025-07-06 00:00:00-04:00,-0.10923286984859423,-0.01370550771651917,0.9877061622434886,1.0,True,1.0
2025-07-07 00:00:00-04:00,-0.10923286984859423,0.04244370642695982,0.9885216681424929,1.0,True,1.0
2025-07-08 00:00:00-04:00,-0.10923286984859423,-0.016298297019536036,0.9874468833131869,1.0,True,1.0
2025-07-09 00:00:00-04:00,-0.10923286984859423,0.09070717134337458,0.9891607623621574,1.0,True,1.0
2025-07-10 00:00:00-04:00,-0.10923286984859423,0.22822607172611997,0.9784235960736195,1.0,True,1.0
2025-07-11 00:00:00-04:00,-0.10923286984859423,0.3010336506423683,0.9776732382566619,1.0,True,1.0
2025-07-12 00:00:00-04:00,-0.12277242360112972,0.3070796774783285,0.969931600046507,1.0,True,1.0
2025-07-13 00:00:00-04:00,-0.12277242360112972,0.22562275192599898,0.9712991036273436,1.0,True,1.0
2025-07-14 00:00:00-04:00,-0.12277242360112972,0.32010803744794775,0.9692495353035884,1.0,True,1.0
2025-07-15 00:00:00-04:00,-0.12277242360112972,0.30148719816162384,0.976146614649367,1.0,True,1.0
2025-07-16 00:00:00-04:00,-0.12277242360112972,0.22870360474209955,0.9812991684969665,1.0,True,1.0
2025-07-17 00:00:00-04:00,-0.12277242360112972,0.24880348139770755,0.9757719579491734,1.0,True,1.0
2025-07-18 00:00:00-04:00,-0.12277242360112972,0.29708712986230656,0.9744644718754365,1.0,True,1.0
2025-07-19 00:00:00-04:00,-0.12277242360112972,0.20276988820735378,0.9691747912673857,1.0,True,1.0
2025-07-20 00:00:00-04:00,-0.12277242360112972,0.23235715760076942,0.9706256630598666,1.0,True,1.0
2025-07-21 00:00:00-04:00,-0.12277242360112972,0.2760303265364035,0.970536400262888,1.0,True,1.0
2025-07-22 00:00:00-04:00,-0.12277242360112972,0.3542400333955648,0.9707042826143295,1.0,True,1.0
2025-07-23 00:00:00-04:00,-0.12277242360112972,0.3519243001983605,0.9732480306186257,1.0,True,1.0
2025-07-24 00:00:00-04:00,-0.12277242360112972,0.31156033109555303,0.9793934160477563,1.0,True,1.0
2025-07-25 00:00:00-04:00,-0.12374267377016286,0.17687835814526662,0.9823035953423122,1.0,True,1.0
2025-07-26 00:00:00-04:00,-0.12374267377016286,0.1748338699527336,0.9804085198585285,1.0,True,1.0
2025-07-27 00:00:00-04:00,-0.12374267377016286,0.14667622771628025,0.9791452435398639,1.0,True,1.0
2025-07-28 00:00:00-04:00,-0.12374267377016286,0.19864536739573135,0.9778328442747349,1.0,True,1.0
2025-07-29 00:00:00-04:00,-0.12374267377016286,0.17068590367804443,0.9715185311023183,1.0,True,1.0
2025-07-30 00:00:00-04:00,-0.12374267377016286,0.19590203278904547,0.9727252206184009,1.0,True,1.0
2025-07-31 00:00:00-04:00,-0.11456375220153542,-0.01793783944509983,0.9654743107549226,1.0,True,1.0
2025-08-01 00:00:00-04:00,-0.11456375220153542,-0.06968701920773909,0.9815749228590726,1.0,True,1.0
2025-08-02 00:00:00-04:00,-0.12630060603397747,-0.1916857453433944,0.9682013648622627,1.0,True,1.0
2025-08-03 00:00:00-04:00,-0.12630060603397747,-0.11296809065540189,0.976073130331062,1.0,True,1.0
2025-08-04 00:00:00-04:00,-0.12630060603397747,-0.17093262222730166,0.970276677173872,1.0,True,1.0
2025-08-05 00:00:00-04:00,-0.12630060603397747,-0.04500756761526367,0.9828691826350758,1.0,True,1.0
2025-08-06 00:00:00-04:00,-0.12630060603397747,-0.048820719769094884,0.9824878674196929,1.0,True,1.0
2025-08-07 00:00:00-04:00,-0.12630060603397747,0.02204129023059167,0.9827587816066182,1.0,True,1.0
2025-08-08 00:00:00-04:00,-0.12630060603397747,0.11776171337815655,0.9782254488557822,1.0,True,1.0
2025-08-09 00:00:00-04:00,-0.12630060603397747,0.14787000954799948,0.9868520876793966,1.0,True,1.0
2025-08-10 00:00:00-04:00,-0.12630060603397747,0.12082786215903188,0.9816021834823978,1.0,True,1.0
2025-08-11 00:00:00-04:00,-0.12630060603397747,0.13156413591281502,0.9746288619148069,1.0,True,1.0
2025-08-12 00:00:00-04:00,-0.12630060603397747,0.05763027663941169,0.979081500813975,1.0,True,1.0
2025-08-13 00:00:00-04:00,-0.12630060603397747,0.12851580158821596,0.9735967255811555,1.0,True,1.0
2025-08-14 00:00:00-04:00,-0.12705293905274648,0.17602315682004524,0.9715161071974137,1.0,True,1.0
2025-08-15 00:00:00-04:00,-0.12705293905274648,0.05669955008078494,0.9824290261942202,1.0,True,1.0
2025-08-16 00:00:00-04:00,-0.12705293905274648,0.004815006593797796,0.9877762067541052,1.0,True,1.0
2025-08-17 00:00:00-04:00,-0.12705293905274648,0.05175328012793794,0.9884720250345689,1.0,True,1.0
2025-08-18 00:00:00-04:00,-0.12705293905274648,-0.11745362800265863,0.9755493432944595,1.0,True,1.0
2025-08-19 00:00:00-04:00,-0.1277622816133001,-0.1660341732838562,0.9706203545102844,1.0,True,0.8
2025-08-20 00:00:00-04:00,-0.1277622816133001,-0.13740476503117213,0.9734832953355528,1.0,True,1.0
2025-08-21 00:00:00-04:00,-0.1277622816133001,0.007350980920893317,0.9879588699307593,1.0,True,1.0
2025-08-22 00:00:00-04:00,-0.1277622816133001,0.0027748282582932167,0.9875012546644992,1.0,True,1.0
2025-08-23 00:00:00-04:00,-0.1277622816133001,0.16219864016292426,0.9784220990889949,1.0,True,1.0
2025-08-24 00:00:00-04:00,-0.1277622816133001,0.17787308999171733,0.9758245769201633,1.0,True,1.0
2025-08-25 00:00:00-04:00,-0.1677622816133001,0.22352056279738872,0.9802400523655526,1.0,True,1.0
2025-08-26 00:00:00-04:00,-0.1677622816133001,0.16760251985636648,0.9907489095669677,1.0,True,1.0
